Fórmula	Adicional	Tipo	Quantidade	Peso Cru	Cliente	Finalização	Data de entrega	Retirar na Loja	Status	Quantidade por pacote	Preço	Total	TOTAL 
AUSTRALIANO		PH ARO 11	10	0.1	 BIG JEFF	FUBA	27/09/2018		Pendente	6	11.18	111.8	6
CASEIRINHO		PH ARO 11	25	0.1	 BIG JEFF	FARINHA	27/09/2018		Pendente	6	10.07	251.75	15
BRIOCHE MARGARINA		PH ARO 11	20	0.09	Botequim do Chopp	EGGWASH	27/09/2018		Pendente	6	12.42	248.4	10.8
CASEIRINHO		PH ARO 11	5	0.09	BROOKS SOROCABA	FARINHA	26/09/2018	Retirar na loja	Pendente	6	10.07	50.35	2.7
CASEIRINHO		PH ARO 11	10	0.09	BROOKS SOROCABA	QUEIJO RALADO	26/09/2018	Retirar na loja	Pendente	6	12.42	124.2	5.4
AMANTEIGADO	0	PH ARO 11	2	0.09	BURGER LOUGE	0	26/09/2018		Pendente	6	8.83	17.66	1.08
AUSTRALIANO		PH ARO 11	1	0.09	BURGER LOUGE	FUBA	26/09/2018		Pendente	6	11.18	11.18	0.54
BRIOCHE MARG. 50% AÇ.		PH ARO 11	2	0.09	BURGER LOUGE	EGGWASH	26/09/2018		Pendente	6	10.35	20.7	1.08
BRIOCHE MARGARINA		PH ARO 11	2	0.09	BURGER LOUGE	EGGWASH	26/09/2018		Pendente	6	12.42	24.84	1.08
CASEIRINHO		PH ARO 11	8	0.09	BURGER LOUGE	FARINHA	26/09/2018		Pendente	6	10.07	80.56	4.32
AMANTEIGADO	0	PH ARO 11	1	0.09	CLIENTES LOJA FÁBRICA	0	26/09/2018	Retirar na loja	Pendente	6	8.83	8.83	0.54
CASEIRINHO		PF	10	0.5	CLIENTES LOJA FÁBRICA	FORMA FECHADA FATIADO	26/09/2018	Retirar na loja	Pendente	1	4.49	44.9	5
PH MALTE		HD	5	0.1	CLIENTES LOJA FÁBRICA	INTEGRAL	26/09/2018	Retirar na loja	Pendente	6	10.35	51.75	3
AUSTRALIANO		PH ARO 11	5	0.09	COLUMBIA JUNIOR	FUBA	26/09/2018		Pendente	6	11.18	55.9	2.7
AUSTRALIANO		PH ARO 11	5	0.09	COLUMBIA JUNIOR	FUBA	27/09/2018		Pendente	6	11.18	55.9	2.7
BRIOCHE MARG. 50% AÇ.		PH ARO 11	20	0.09	COLUMBIA JUNIOR	EGGWASH	26/09/2018		Pendente	6	10.35	207	10.8
BRIOCHE MARG. 50% AÇ.		PH ARO 11	25	0.09	COLUMBIA JUNIOR	EGGWASH	27/09/2018		Pendente	6	10.35	258.75	13.5
 VEGANO TRAD.	C. VERM. BET. CEBOLA	PH ARO 11	10	0.09	DALLA CORTE		26/09/2018		Pendente	6	10.35	103.5	5.4
AUSTRALIANO		PH ARO 11	10	0.09	DALLA CORTE	FUBA	26/09/2018		Pendente	6	11.18	111.8	5.4
BRIOCHE MARG. 50% AÇ.		PH ARO 11	10	0.09	DALLA CORTE	EGGWASH	26/09/2018		Pendente	6	10.35	103.5	5.4
CASEIRINHO		PH ARO 11	10	0.1	DALLA CORTE	DUO GERGELIM	26/09/2018		Pendente	6	11.18	111.8	6
